,team,name,position,player_url
209,Real Madrid,David Jiménez,DF,https://fbref.com/en/players/aa2aab45/David-Jimenez
210,Atlético Madrid,Jan Oblak,GK,https://fbref.com/en/players/ee8508c0/Jan-Oblak
211,Atlético Madrid,Antoine Griezmann,FW,https://fbref.com/en/players/df69b544/Antoine-Griezmann
212,Atlético Madrid,Julián Álvarez,FW,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez
213,Atlético Madrid,Pablo Barrios,MF,https://fbref.com/en/players/45736cec/Pablo-Barrios
214,Atlético Madrid,Koke,MF,https://fbref.com/en/players/55126f3b/Koke
215,Atlético Madrid,José María Giménez,DF,https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez
216,Atlético Madrid,Marcos Llorente,DF,https://fbref.com/en/players/02c15616/Marcos-Llorente
217,Atlético Madrid,Conor Gallagher,MF,https://fbref.com/en/players/c2731c10/Conor-Gallagher
218,Atlético Madrid,Nahuel Molina,DF,https://fbref.com/en/players/23610943/Nahuel-Molina
219,Atlético Madrid,Clément Lenglet,DF,https://fbref.com/en/players/4f28a6ff/Clement-Lenglet
220,Atlético Madrid,Rodrigo De Paul,MF,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul
221,Atlético Madrid,Robin Le Normand,DF,https://fbref.com/en/players/9a64e67e/Robin-Le-Normand
222,Atlético Madrid,Samuel Lino,MF,https://fbref.com/en/players/2a295d33/Samuel-Lino
223,Atlético Madrid,Giuliano Simeone,MF,https://fbref.com/en/players/a6536561/Giuliano-Simeone
224,Atlético Madrid,Javi Galán,DF,https://fbref.com/en/players/a4b00319/Javi-Galan
225,Atlético Madrid,Reinildo Mandava,DF,https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava
226,Atlético Madrid,Alexander Sørloth,FW,https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth
227,Atlético Madrid,Axel Witsel,DF,https://fbref.com/en/players/5dfc6ad5/Axel-Witsel
228,Atlético Madrid,César Azpilicueta,DF,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
229,Atlético Madrid,Rodrigo Riquelme,DF,https://fbref.com/en/players/65154df0/Rodrigo-Riquelme
230,Atlético Madrid,Ángel Correa,FW,https://fbref.com/en/players/01eb744d/Angel-Correa
231,Atlético Madrid,Juan Musso,GK,https://fbref.com/en/players/a111cf41/Juan-Musso
232,Atlético Madrid,Adrian Niño,FW,https://fbref.com/en/players/5b9067c9/Adrian-Nino
233,Atlético Madrid,Thomas Lemar,MF,https://fbref.com/en/players/4dbd0916/Thomas-Lemar
234,Atlético Madrid,Rayane Belaid,DF,https://fbref.com/en/players/b8be4b5f/Rayane-Belaid
235,Atlético Madrid,Aitor Gismera,MF,https://fbref.com/en/players/73df4173/Aitor-Gismera
236,Atlético Madrid,Antonio Gomis,GK,https://fbref.com/en/players/f0f4671c/Antonio-Gomis
237,Atlético Madrid,Alejandro Iturbe,GK,https://fbref.com/en/players/d58f4c7a/Alejandro-Iturbe
238,Atlético Madrid,Ilias Kostis,DF,https://fbref.com/en/players/9b94c838/Ilias-Kostis
